Flight number,Airline,Origin / destination,Date of arrival,Close contact rows
VA559,Virgin,Sydney to Perth,20/03/2020,"15, 16, 17, 18, 19"
EK420,Emirates,Dubai to Perth,20/03/2020,"13, 14, 15, 16, 17"
ZL2125,REX airlines,Perth to Albany,20/03/2020,"3, 4, 5, 6, 7"
VA559,Virgin,Sydney to Perth,20/03/2020,"20, 21, 22, 23, 24"
LX9042,Swiss International Air Lines,Singapore to Perth,20/03/2020,"41, 42, 43, 44, 45 and 52, 53, 54, 55, 56"
EK420,Emirates,Dubai to Perth,21/03/2020,"43, 44, 45, 46, 4, and 53, 54, 55, 56, 57 and 80, 81, 82, 83, 84"
QF577,QANTAS,Sydney to Perth,21/03/2020,"16, 17, 18, 19, 20"
EK0420,Emirates,Dubai to Perth,21/03/2020,"43, 44, 45, 46, 47"
QF573,QANTAS,Brisbane to Perth,21/03/2020,"1, 2, 3, 4, 5"
QF575,QANTAS,Sydney to Perth,21/03/2020,"26, 27, 28, 29, 30"
QF583,QANTAS,Sydney to Perth,22/03/2020,"1, 2, 3, 4, 5"
VA559,Virgin,Sydney to Perth,22/03/2020,"20,21,22,23,24 and 28, 29, 30, 31, 32"
VA1637,Virgin,Perth to Kununurra,22/03/2020,"9, 10, 11, 12, 13"
QF1606,QANTAS,Perth to Kalgoorlie,22/03/2020,"15, 16, 17, 18, 19"
QF581,QANTAS,Sydney to Perth,23/03/2020,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
VA685,Virgin,Melbourne to Perth,23/03/2020,"21, 22, 23, 24, 25"
QF1610,QANTAS,Perth to Kalgoorlie,23/03/2020,"1, 2, 3, 4"
EK420,Emirates,Dubai to Perth,23/03/2020,"44, 45, 46, 47, 48, 49 and 80, 81, 82, 83, 84"
QF8420,QANTAS,Dubai to Perth,23/03/2020,"78, 79, 80, 81, 82"
NZ175,Air New Zealand,Auckland to Perth,24/03/2020,"27, 28, 29, 30, 31"
EK420,Emirates,Dubai to Perth,25/03/2020,"23, 24, 25, 26, 27"
VA691,Virgin,Melbourne to Perth,25/03/2020,"16, 17, 18, 19, 20"
QR900,Qatar,Doha to Perth,25/03/2020,"26, 27, 28, 29, 30"
QF10,QANTAS,London to Perth,26/03/2020,"51, 52, 53, 54, 55"
QF475,QANTAS,Melbourne to Perth,27/03/2020,"1, 2, 3, 4"
QR990,Qatar,Doha to Perth,28/03/2020,"80, 81, 82, 83, 84"
QR990,Qatar,Doha to Perth,29/03/2020,"20, 21, 22, 23, 24 and 26, 27, 28, 29, 30 and 32, 33, 34, 35, 36"
QR990,Qatar,Doha to Perth,30/03/2020,"17, 18, 19, 20, 21"
