Flight,Airline,Origin/Destination,Date of departure,Date of arrival,Close contact rows
QF1509,Qantas,Sydney/Canberra,28 February 2020,28 February 2020,"2, 3, 4, 5, 6"
VA651,Virgin Australia,Canberra/Sydney,28 February 2020,28 February 2020,"3, 4, 5, 6, 7"
VA811,Virgin Australia,Melbourne/Sydney,3 March 2020,3 March 2020,"22, 23, 24, 25, 26"
VA800,Virgin Australia,Sydney/Melbourne,4 March 2020,4 March 2020,"1, 2, 3, 4"
VA833,Virgin Australia,Melbourne/Sydney,6 March 2020,6 March 2020,"1, 2, 3, 4"
VA535,Virgin Australia,Sydney/Coolangatta,8 March 2020,8 March 2020,"19, 20, 21, 22, 23"
QF2039,Qantas,Dubbo/Sydney,10 March 2020,10 March 2020,"1, 2, 3, 4"
Rex XL852,Rex,Syd​​ney/Dubbo,10 March 2020,10 March 2020,"1,  2, 3, 4"
VA1141,Virgin Australia,Sydney/Ballina,10 March 2020,10 March 2020,"7, 8, 9, 10, 11"
QF424,Qantas,Melbourne/Sydney,11 March 2020,11 March 2020,"1, 2, 3"
JQ456,Jetstar,Sydney/Ballina,12 March 2020,12 March 2020,"5, 6, 7, 8, 9"
VA838,Virgin,Sydney/Melbourne,12 March 2020,12 March 2020,"9, 10, 11, 12, 13"
QR908,Qatar,Doha/Sydney,12 March 2020,13 March 2020,TBC
QF434,Qantas,Melbourne/Sydney,13 March 2020,13 March 2020,"1, 2, 3, 4"
VA82020,Virgin Australia,Melbourne/Sydney,13 March 2020,13 March 2020,"8, 9, 10, 11, 12"
VA859,Virgin Australia,Sydney/Melbourne,13 March 2020,13 March 2020,"10, 11, 12, 13, 14"
JQ784,Jetstar,Sydney/Maroochydore,14 March 2020,14 March 2020,"1, 2, 3, 4"
QF426,Qantas,Melbourne/Sydney,14 March 2020,14 March 2020,"8, 9, 10, 11, 12"
QF430,Qantas,Melbourne/Sydney,14 March 2020,14 March 2020,"35, 36, 37, 38, 39"
QF582,Qantas,Perth/Sydney,14 March 2020,14 March 2020,"1, 2, 3, 4"
JQ461,Jetstar,Ballina/Sydney,15 March 2020,15 March 2020,"5, 6, 7, 8, 9"
JQ785,Jetstar,Maroochydore/ Sydney,15 March 2020,15 March 2020,"1, 2, 3, 4"
JQ660,Jetstar,Sydney/Ayers Rock,15 March 2020,15 March 2020,"8, 9, 10, 11, 12"
QF2422,Qantas,Newcastle/Brisbane,15 March 2020,15 March 2020,"3, 4, 5, 6, 7"
QF582,Qantas,Perth/Sydney,15 March 2020,15 March 2020,TBC
QF751,Qantas,Sydney/Adelaide,15 March 2020,15 March 2020,"18, 19, 20, 21, 22"
QF751,Qantas,Sydney/Adelaide,15 March 2020,15 March 2020,"18, 19, 20, 21, 22"
QF866,Qantas,Sydney/Hamilton Island,15 March​​ 2020,15 March 2020,"3, 4, 5, 6, 722, 23, 24, 25, 26"
VA932,Virgin,Brisbane/Sydney,15 March 2020,15 March 2020,"7, 8, 9, 10, 11"
ZL628,Rex,Sydney/Bathuurst,16 March 2020,16 March 2020,"6, 7, 8, 9, 10"
ZL467,Rex,Sydney/Griffith,16 March 2020,16 March 2020,"7, 8, 9, 10, 11"
VA1628,Virgin,Uluru/Sydney,16 March 2020,16 March 2020,"21, 22, 23, 24, 25"
VA815,Virgin Australia,Melbourne/Sydney,16 March 2020,16 March 2020,"1, 2, 3, 4"
FC226,FlyCorporate,Melbourne/Wollongong,17 March 2020,17 March 2020,"9, 10, 11, 12, 13"
JQ514,Jetstar,Melbourne/Sydney,17 March 2020,17 March 2020,"7, 8, 9, 10, 11"
QF429,Qantas,Sydney/Melbourne,17 March 2020,17 March 2020,"7, 8, 9, 10, 11"
JQ403,Jetstar,Sydney/Gold Coast,18 March 2020,18 March 2020,"24, 25, 26, 27, 28"
JQ661,Jetstar,Ayers Rock/Sydney,18 March 2020,18 March 2020,"24, 25, 26, 27, 28"
JQ953,Jetstar,Cairns/Sydney,18 March 2020,18 March 2020,"12, 13, 14, 15, 1624, 25, 26, 27, 28"
QF566,Qantas,Perth/Sydney,18 March 2020,18 March 2020,"27, 28, 29, 30, 31"
QF52020,Qantas,Sydney/Brisbane,18 March 2020,18 March 2020,"17, 18, 19, 20, 21"
VA632,Virgin,Sydney/Canberra,18 March 2020,18 March 2020,"14, 15, 16, 17, 18"
QF412,Qantas,Melbourne/Sydney,19 March 2020,19 March 2020,"22, 23, 24, 25, 26, 27"
QF525,Qantas,Brisbane/Sydney,19 March 2020,19 March 2020,"9, 10, 11, 12, 13, 14"
QF577,Qantas,Sydney/Perth,19 March 2020,19 March 2020,TBC
QF2004,Qantas,Sydney/Tamworth,19 March 2020,19 March 2020,"13, 14, 15, 16, 17"
QF2221,Qantas,Sydney/Wagga,19 March 2020,19 March 2020,"6, 7, 8, 9, 10"
ZL717,Rex,Sydney/Cooma/Merimbula,19 March 2020,19 March 2020,"6, 7, 8, 9, 10"
VA1178,Virgin,Sydney/Albury,19 March 2020,19 March 2020,"10, 11, 12, 13, 14"
JQ504,Jetstar,Melbourne/Sydney,20 March 2020,20 March 2020,"20, 21, 22, 23, 24, 25, 26"
QF556,Qantas,Sydney/Brisbane,20 March 2020,20 March 2020,"11, 12, 13, 14, 15"
QF2213,Qantas,Sydney/Albury,20 March 2020,20 March 2020,"8, 9, 10, 11, 12"
QF2046,Qantas,Sydney/Dubbo,20 March 2020,20 March 2020,"12, 13, 14, 15, 16"
VA917,Virgin,Sydney/Brisbane,20 March 2020,20 March 2020,"15, 16, 17, 18, 19, 20, 21, 22, 23 24"
ZL166,Rex,Sydney/Orange,21 March 2020,21 March 2020,"6, 7, 8, 9, 10"
TT352,Tiger,Sydney/Brisbane,21 March 2020,21 March 2020,"11, 12, 13, 14, 15"
JQ415,Jetstar,Gold Coast/Sydney,22 March 2020,22 March 2020,"13, 14, 15, 16, 17,"
QF1419,Qantas,Sydney/Canberra,22 March 2020,22 March 2020,"4, 5, 6, 7, 8"
VA982,Virgin,Brisbane/Sydney,22 March 2020,22 March 2020,"20, 21, 22, 23, 24"
VA992,Virgin,Brisbane/Sydney,22 March 2020,22 March 2020,"8, 9, 10, 11, 12"
JQ604,Jetstar,Sydney/Avalon,23 March 2020,23 March 2020,TBC
VA935,Virgin,Sydney/Brisbane,23 March 2020,23 March 2020,TBC
QF408,Qantas,Melbourne/Sydney,24 March 2020,24 March 2020,"1, 2, 3, 4"
QF566,Qantas,Perth/Sydney,25 March 2020,25 March 2020,"27, 28, 29, 30"
