Date departed,Flight/Airline,Origin/Destination,Arrival time
20 March 2020,QF840 - Qantas,Sydney to Darwin,1 pm
19 March 2020,JQ82 - Jetstar,Denpasar to Darwin,5 am
19 March 2020,QF824 - Qantas,Brisbane to Darwin,12:30 pm
19 March 2020,JQ672 - Jetstar,Sydney to Darwin,11:30 pm
